Timestamp,X,Y
1744032390219,0.571,1.032
1744032390250,0.571,1.032
1744032390266,0.571,1.032
1744032390282,0.571,1.022
1744032390297,0.571,1.022
1744032390313,0.571,1.022
1744032390329,0.571,1.022
1744032390344,0.571,1.022
1744032390360,0.572,1.014
1744032390375,0.572,1.014
1744032390391,0.572,1.014
1744032390407,0.572,1.014
1744032390422,0.594,1.010
1744032390438,0.594,1.010
1744032390454,0.594,1.010
1744032390469,0.594,1.010
1744032390485,0.613,1.003
1744032390500,0.613,1.003
1744032390516,0.613,1.003
1744032390532,0.613,1.003
1744032390547,0.620,0.998
1744032390563,0.620,0.998
1744032390579,0.620,0.998
1744032390594,0.620,0.998
1744032390610,0.620,0.998
1744032390625,0.626,0.995
1744032390643,0.626,0.995
1744032390659,0.626,0.995
1744032390674,0.626,0.995
1744032390690,0.629,0.991
1744032390705,0.629,0.991
1744032390737,0.629,0.991
1744032390768,0.631,0.987
1744032390799,0.631,0.987
1744032390822,0.629,0.984
1744032390841,0.629,0.984
1744032390858,0.629,0.984
1744032390875,0.629,0.984
1744032390890,0.629,0.979
1744032390909,0.629,0.979
1744032390925,0.629,0.979
1744032390943,0.629,0.979
1744032390958,0.631,0.972
1744032390975,0.631,0.972
1744032390993,0.631,0.972
1744032391009,0.631,0.972
1744032391026,0.632,0.965
1744032391043,0.632,0.965
1744032391059,0.632,0.965
1744032391091,0.635,0.959
1744032391122,0.635,0.959
1744032391138,0.635,0.959
1744032391169,0.636,0.953
1744032391200,0.636,0.953
1744032391231,0.636,0.948
1744032391247,0.636,0.948
1744032391263,0.636,0.948
1744032391278,0.634,0.944
1744032391294,0.634,0.944
1744032391309,0.634,0.944
1744032391325,0.634,0.944
1744032391341,0.634,0.944
1744032391559,0.639,0.927
1744032391575,0.639,0.927
1744032391593,0.639,0.927
1744032391609,0.639,0.927
1744032391626,0.640,0.930
1744032391643,0.640,0.930
1744032391659,0.640,0.930
1744032391676,0.640,0.930
1744032391693,0.640,0.944
1744032391711,0.640,0.944
1744032391743,0.640,0.944
1744032391761,0.637,0.956
1744032391779,0.637,0.956
1744032391809,0.637,0.956
1744032391826,0.626,0.965
1744032391843,0.626,0.965
1744032391859,0.626,0.965
1744032391876,0.626,0.965
1744032391893,0.615,0.968
1744032391909,0.615,0.968
1744032391926,0.615,0.968
1744032391944,0.615,0.968
1744032391961,0.611,0.967
1744032391993,0.611,0.967
1744032392009,0.611,0.967
1744032392026,0.625,0.950
1744032392043,0.625,0.950
1744032392059,0.625,0.950
1744032392076,0.625,0.950
1744032392093,0.644,0.927
1744032392109,0.644,0.927
1744032392126,0.644,0.927
1744032392143,0.644,0.927
1744032392159,0.661,0.900
1744032392176,0.661,0.900
1744032392194,0.661,0.900
1744032392209,0.661,0.900
1744032392226,0.675,0.876
1744032392248,0.675,0.876
1744032392276,0.675,0.876
1744032392307,0.685,0.858
1744032392339,0.685,0.858
1744032392370,0.689,0.843
1744032392401,0.689,0.843
1744032392432,0.690,0.828
1744032392464,0.690,0.828
1744032392495,0.696,0.817
1744032392526,0.696,0.817
1744032392557,0.708,0.812
1744032392589,0.708,0.812
1744032392620,0.730,0.805
1744032392651,0.730,0.805
1744032392682,0.760,0.808
1744032392714,0.760,0.808
1744032392745,0.760,0.808
1744032392776,0.791,0.823
1744032392807,0.791,0.823
1744032392839,0.819,0.843
1744032392870,0.819,0.843
1744032392901,0.840,0.866
1744032392932,0.840,0.866
1744032392964,0.859,0.884
1744032392995,0.859,0.884
1744032393026,0.879,0.898
1744032393057,0.879,0.898
1744032393089,0.903,0.905
1744032393120,0.903,0.905
1744032393151,0.927,0.910
1744032393182,0.927,0.910
1744032393214,0.961,0.908
1744032393245,0.961,0.908
1744032393276,0.961,0.908
1744032393307,1.000,0.893
1744032393339,1.000,0.893
1744032393354,1.038,0.867
1744032393370,1.038,0.867
1744032393385,1.038,0.867
1744032393401,1.038,0.867
1744032393417,1.069,0.837
1744032393448,1.069,0.837
1744032393479,1.092,0.805
1744032393510,1.092,0.805
1744032393542,1.092,0.805
1744032393573,1.108,0.778
1744032393604,1.108,0.778
1744032393635,1.123,0.756
1744032393667,1.123,0.756
1744032393698,1.139,0.738
1744032393729,1.139,0.738
1744032393760,1.158,0.728
