Timestamp,X,Y
1744033115336,0.455,1.171
1744033115367,0.455,1.171
1744033115383,0.455,1.171
1744033115398,0.455,1.171
1744033115414,0.463,1.170
1744033115430,0.463,1.170
1744033115445,0.463,1.170
1744033115461,0.463,1.170
1744033115477,0.469,1.170
1744033115492,0.469,1.170
1744033115508,0.469,1.170
1744033115523,0.469,1.170
1744033115539,0.494,1.182
1744033115555,0.494,1.182
1744033115570,0.494,1.182
1744033115586,0.494,1.182
1744033115602,0.494,1.182
1744033115617,0.494,1.182
1744033115633,0.511,1.180
1744033115648,0.511,1.180
1744033115664,0.511,1.180
1744033115680,0.522,1.178
1744033115695,0.522,1.178
1744033115711,0.522,1.178
1744033115727,0.522,1.178
1744033115742,0.531,1.179
1744033115758,0.531,1.179
1744033115773,0.531,1.179
1744033115789,0.531,1.179
1744033115805,0.537,1.179
1744033115820,0.537,1.179
1744033115836,0.537,1.179
1744033115852,0.537,1.179
1744033115867,0.541,1.181
1744033115883,0.541,1.181
1744033115898,0.541,1.181
1744033115914,0.541,1.181
1744033115930,0.541,1.181
1744033115942,0.545,1.184
1744033115958,0.545,1.184
1744033115972,0.545,1.184
1744033115989,0.545,1.184
1744033116009,0.551,1.185
1744033116027,0.551,1.185
1744033116043,0.551,1.185
1744033116059,0.551,1.185
1744033116076,0.557,1.184
1744033116091,0.557,1.184
1744033116107,0.557,1.184
1744033116122,0.557,1.184
1744033116140,0.564,1.181
1744033116156,0.564,1.181
1744033116171,0.564,1.181
1744033116187,0.564,1.181
1744033116203,0.564,1.181
1744033116218,0.571,1.178
1744033116234,0.571,1.178
1744033116265,0.578,1.173
1744033116296,0.578,1.173
1744033116328,0.578,1.173
1744033116359,0.584,1.169
1744033116390,0.584,1.169
1744033116406,0.588,1.166
1744033116421,0.588,1.166
1744033116437,0.588,1.166
1744033116453,0.588,1.166
1744033116468,0.588,1.166
1744033116674,0.599,1.141
1744033116691,0.599,1.141
1744033116707,0.599,1.141
1744033116724,0.599,1.141
1744033116740,0.602,1.136
1744033116757,0.602,1.136
1744033116774,0.602,1.136
1744033116790,0.602,1.136
1744033116809,0.592,1.142
1744033116824,0.592,1.142
1744033116841,0.592,1.142
1744033116857,0.592,1.142
1744033116874,0.579,1.148
1744033116891,0.579,1.148
1744033116907,0.579,1.148
1744033116924,0.579,1.148
1744033116941,0.564,1.153
1744033116957,0.564,1.153
1744033116974,0.564,1.153
