Timestamp,X,Y
1744032239784,0.549,1.032
1744032239815,0.639,1.017
1744032239846,0.639,1.017
1744032239878,0.656,1.012
1744032239909,0.656,1.012
1744032239940,0.671,1.006
1744032239971,0.671,1.006
1744032240003,0.671,1.006
1744032240034,0.685,1.000
1744032240065,0.685,1.000
1744032240092,0.698,0.995
1744032240107,0.698,0.995
1744032240123,0.698,0.995
1744032240141,0.713,0.988
1744032240157,0.713,0.988
1744032240173,0.713,0.988
1744032240190,0.713,0.988
1744032240941,0.861,0.958
1744032240957,0.861,0.958
1744032240974,0.861,0.958
1744032240991,0.861,0.958
1744032241007,0.866,0.968
1744032241024,0.866,0.968
1744032241041,0.866,0.968
1744032241057,0.866,0.968
1744032241074,0.874,0.977
1744032241091,0.874,0.977
1744032241107,0.874,0.977
1744032241124,0.874,0.977
1744032241141,0.886,0.984
1744032241157,0.886,0.984
1744032241174,0.886,0.984
1744032241191,0.886,0.984
1744032241207,0.886,0.984
1744032241224,0.907,0.984
1744032241241,0.907,0.984
1744032241257,0.907,0.984
1744032241275,0.933,0.974
1744032241292,0.933,0.974
1744032241324,0.933,0.974
1744032241342,0.952,0.950
1744032241359,0.952,0.950
1744032241391,0.952,0.950
1744032241411,0.962,0.927
1744032241441,0.962,0.927
1744032241470,0.962,0.927
1744032241491,0.965,0.903
1744032241523,0.965,0.903
1744032241554,0.965,0.881
1744032241585,0.965,0.881
1744032241616,0.965,0.862
1744032241648,0.965,0.862
1744032241679,0.969,0.845
1744032241710,0.969,0.845
1744032241741,0.981,0.833
1744032241773,0.981,0.833
1744032241804,1.000,0.823
1744032241835,1.000,0.823
1744032241866,1.000,0.823
1744032241898,1.029,0.815
1744032241929,1.029,0.815
1744032241960,1.063,0.817
1744032241991,1.063,0.817
1744032242023,1.094,0.831
1744032242054,1.094,0.831
1744032242085,1.117,0.852
1744032242101,1.117,0.852
1744032242116,1.117,0.852
1744032242132,1.117,0.852
1744032242148,1.134,0.875
1744032242163,1.134,0.875
1744032242179,1.134,0.875
1744032242195,1.134,0.875
1744032242210,1.153,0.896
1744032242226,1.153,0.896
1744032242257,1.153,0.896
1744032242288,1.176,0.913
1744032242320,1.176,0.913
1744032242351,1.200,0.925
1744032242382,1.200,0.925
1744032242413,1.228,0.931
1744032242445,1.228,0.931
1744032242476,1.260,0.931
1744032242507,1.260,0.931
1744032242538,1.290,0.928
1744032242570,1.290,0.928
1744032242601,1.290,0.928
1744032242632,1.319,0.920
1744032242663,1.319,0.920
1744032242695,1.347,0.904
1744032242726,1.347,0.904
1744032242757,1.376,0.881
1744032242788,1.376,0.881
1744032242820,1.404,0.854
1744032242851,1.404,0.854
1744032242882,1.430,0.828
1744032242914,1.430,0.828
1744032242945,1.449,0.810
1744032242976,1.449,0.810
1744032243007,1.464,0.796
1744032243039,1.464,0.796
1744032243070,1.483,0.796
1744032243101,1.483,0.796
1744032243132,1.483,0.796
1744032243164,1.512,0.801
1744032243195,1.512,0.801
1744032243226,1.541,0.822
1744032243257,1.541,0.822
1744032243289,1.564,0.853
1744032243320,1.564,0.853
1744032243351,1.577,0.886
1744032243382,1.577,0.886
1744032243414,1.588,0.917
1744032243445,1.588,0.917
1744032243476,1.601,0.943
1744032243507,1.601,0.943
1744032243539,1.620,0.965
1744032243570,1.620,0.965
1744032243601,1.620,0.965
1744032243633,1.639,0.981
1744032243648,1.639,0.981
1744032243679,1.663,0.998
1744032243711,1.663,0.998
1744032243742,1.696,1.011
1744032243773,1.696,1.011
1744032243804,1.733,1.016
1744032243836,1.733,1.016
1744032243867,1.733,1.016
1744032243898,1.776,1.011
1744032243929,1.776,1.011
1744032243961,1.823,0.994
1744032243992,1.823,0.994
1744032244023,1.862,0.970
1744032244054,1.862,0.970
1744032244086,1.889,0.947
1744032244117,1.889,0.947
1744032244133,1.889,0.947
1744032244148,1.908,0.930
1744032244164,1.908,0.930
1744032244180,1.908,0.930
1744032244195,1.908,0.930
1744032244211,1.927,0.921
1744032244226,1.927,0.921
1744032244242,1.927,0.921
1744032244258,1.927,0.921
1744032244273,1.945,0.916
1744032244289,1.945,0.916
1744032244305,1.945,0.916
1744032244320,1.945,0.916
1744032244336,1.945,0.916
1744032244351,1.971,0.919
1744032244367,1.971,0.919
1744032244383,1.971,0.919
1744032244398,1.971,0.919
1744032244414,2.003,0.924
1744032244430,2.003,0.924
1744032244445,2.003,0.924
1744032244461,2.003,0.924
1744032244476,2.031,0.941
1744032244492,2.031,0.941
1744032244508,2.031,0.941
1744032244523,2.031,0.941
1744032244539,2.054,0.968
1744032244555,2.054,0.968
1744032244570,2.054,0.968
1744032244586,2.054,0.968
1744032244602,2.054,0.968
1744032244617,2.073,1.004
1744032244633,2.073,1.004
1744032244648,2.073,1.004
1744032244664,2.073,1.004
1744032244680,2.088,1.045
1744032244695,2.088,1.045
1744032244711,2.088,1.045
1744032244727,2.088,1.045
1744032244742,2.100,1.082
1744032244758,2.100,1.082
1744032244773,2.100,1.082
1744032244789,2.100,1.082
1744032244805,2.116,1.108
1744032244820,2.116,1.108
1744032244836,2.116,1.108
1744032244852,2.116,1.108
1744032244867,2.116,1.108
1744032244883,2.131,1.127
1744032244898,2.131,1.127
1744032244914,2.131,1.127
1744032244930,2.131,1.127
1744032244945,2.154,1.140
1744032244961,2.154,1.140
1744032244977,2.154,1.140
1744032244992,2.154,1.140
1744032245008,2.193,1.148
1744032245024,2.193,1.148
1744032245039,2.193,1.148
1744032245055,2.193,1.148
1744032245070,2.193,1.148
1744032245086,2.193,1.148
1744032245102,2.230,1.148
1744032245117,2.230,1.148
1744032245133,2.230,1.148
1744032245149,2.268,1.134
1744032245164,2.268,1.134
1744032245180,2.268,1.134
1744032245195,2.268,1.134
1744032245211,2.302,1.108
1744032245227,2.302,1.108
1744032245242,2.302,1.108
1744032245258,2.302,1.108
1744032245274,2.329,1.073
1744032245289,2.329,1.073
1744032245305,2.329,1.073
1744032245320,2.329,1.073
1744032245336,2.329,1.073
1744032245352,2.346,1.033
1744032245367,2.346,1.033
1744032245383,2.346,1.033
1744032245399,2.346,1.033
1744032245414,2.354,1.003
1744032245430,2.354,1.003
1744032245446,2.354,1.003
1744032245461,2.354,1.003
1744032245477,2.369,0.990
1744032245492,2.369,0.990
1744032245508,2.369,0.990
1744032245524,2.369,0.990
1744032245539,2.387,0.985
1744032245555,2.387,0.985
1744032245571,2.387,0.985
1744032245586,2.387,0.985
1744032245602,2.387,0.985
1744032245617,2.421,0.986
1744032245633,2.421,0.986
1744032245649,2.421,0.986
1744032245664,2.421,0.986
1744032245680,2.463,0.999
1744032245696,2.463,0.999
1744032245711,2.463,0.999
1744032245727,2.463,0.999
1744032245742,2.505,1.027
1744032245758,2.505,1.027
1744032245774,2.505,1.027
1744032245789,2.505,1.027
1744032245805,2.536,1.067
1744032245821,2.536,1.067
1744032245836,2.536,1.067
1744032245852,2.536,1.067
1744032245867,2.536,1.067
1744032245883,2.552,1.108
1744032245899,2.552,1.108
1744032245914,2.552,1.108
1744032245930,2.552,1.108
1744032245946,2.558,1.144
1744032245961,2.558,1.144
1744032245977,2.558,1.144
1744032245992,2.558,1.144
1744032246008,2.563,1.172
1744032246024,2.563,1.172
1744032246039,2.563,1.172
1744032246055,2.563,1.172
1744032246071,2.563,1.172
1744032246086,2.581,1.192
1744032246102,2.581,1.192
1744032246118,2.581,1.192
1744032246133,2.581,1.192
1744032246149,2.597,1.212
1744032246164,2.597,1.212
1744032246180,2.597,1.212
1744032246196,2.597,1.212
1744032246211,2.630,1.229
1744032246227,2.630,1.229
1744032246243,2.630,1.229
1744032246258,2.630,1.229
1744032246274,2.630,1.229
1744032246289,2.670,1.247
1744032246305,2.670,1.247
1744032246321,2.670,1.247
1744032246336,2.670,1.247
1744032246352,2.710,1.260
1744032246368,2.710,1.260
1744032246383,2.710,1.260
1744032246399,2.710,1.260
1744032246415,2.750,1.267
1744032246430,2.750,1.267
1744032246461,2.750,1.267
1744032246493,2.786,1.268
1744032246524,2.786,1.268
1744032246555,2.817,1.264
1744032246586,2.817,1.264
1744032246618,2.840,1.257
1744032246649,2.840,1.257
1744032246680,2.854,1.248
1744032246711,2.854,1.248
1744032246743,2.859,1.243
1744032246774,2.859,1.243
1744032246805,2.859,1.243
1744032246836,2.865,1.242
1744032246868,2.865,1.242
1744032246899,2.882,1.259
1744032246930,2.882,1.259
1744032246962,2.901,1.289
1744032246993,2.901,1.289
1744032247024,2.908,1.329
1744032247055,2.908,1.329
1744032247087,2.906,1.364
1744032247118,2.906,1.364
1744032247149,2.899,1.395
1744032247180,2.899,1.395
1744032247212,2.893,1.421
1744032247243,2.893,1.421
1744032247274,2.892,1.448
